UPC,Mercado,Sub-Mercado,Atributo Categoria,Laboratorio,Laboratorio Completo,DESCRIPCION,SUN FILE,PAIS,MINERAL / NO MINERAL,TRACKER,TRACKER DESCRIPCION
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE MICELLAR+LL 50+THERMAL 50+W.HAND 30 50 3661434006685,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE GOMMAGE INTEGRAL P.SENS.EXFOL POM ML 200 3661434000485,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE CLEANS,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYSEAC AGUA DE LIMP FCO LL 250 D URIAGE 3661434000362,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMAL PACK BARIEDERM C-LIPS NL CJA CTN X2 15 . 3661434007736,,CHILE,,,
3.66E+12,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,URIAGE,URIAGE EAU THERMALE XEMOSE ML C/VAL+ SOOTHING OIL 200 400 PL 3661434005329BP2,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE LEAU DESMAQU.FCO.LL 250 PUIG CHILE LTDA. 3661434000324,,CHILE,,,
3.66E+12,SUN,SUN BODY,SUN BODY,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN LAIT S50+PIEL SENSIB.CJ CTN 100 3661434001390,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE BARIEDERM MAL POM PACK 2 50 ML 3661434007743,,CHILE,,,
3.66E+12,RESTORING,RESTORING,RESTORING,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIEDERM FISURAS Y GRIETAS CJ MC 40 3661434000492,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE ROSELIANE NL CJA 40 JA REGALO 3661434002977,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISODENSE SERUM CJ CTN NL 30 3661434002182,,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN CREME SPF50+ P.SENS.GOLD CJ 50 3661434001727,Sensitive Skin/ basic sun protection,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISOLISS CONTORNO OJOS CJ CTN OL 15 3661434002748,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIEDERM AISLANTE REPARADORA CJ CTN 75 3661434000508,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISOFILL FOCUS RIDES CJ NC 50 D URIAGE 3661434001864,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE ROSELIANE ANTI-ROUGEURS CJ HL 40 3661434000430,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYSEAC 3-REGUL SPF30 LL CJA CTN 40 3661434005534,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTCT DAY CR+MINI SR10 CJ CTN 40 . 3661434007828,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE XEMOSE CREME EMOLIENTE UNIVERSELL ML 400 3661434000096,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISODENSE CONTORNO DE OJOS CJ OL 15 D UR 3661434002175,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT FLUIDO MULT SPF30 CJ CTN 40ML 3661434008054,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT DAY CR+MINI SER10 CJ CTN 40 . 3661434007446,,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,URIAGE,URIAGE PROT. SOLAR TINTED CREAM C/COLOR SPF50+ CJ CTN 50ML 3661434006524,Sensitive Skin/ basic sun protection,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECTION INSTANT MULTI CJ CTN 30ML 3661434008061,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT NIGHT CR+MINI DETX10 CJ CTN 40 . 3661434007453,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE GOMMANTE EXF P.SEN POMO PL 200 3661434006234,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYSEAC MAT EMULSION MAT+GR MIC 100 40 3661434007538BP1,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE AGUA MICELAR LIMP/DESMAQ BOT PL 500ML 3661434004605,,CHILE,,,
3.66E+12,SUN,SUN BODY,SUN BODY,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN SPF50+ DRY MIST A LTA 200 3661434006500,,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN F50+ FLU ULT LEG CJ CTN 30 PUIG 3661434005480,Sensitive Skin/ basic sun protection,CHILE,,,
3.66E+12,SUN,SUN BODY,SUN BODY,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN SPF50+MINERAL P.ALERGICA CJ 100 3661434001437,,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN STICK INVISIBLE F50+ FCO PL 8 3661434004230,"Others ( Face brushes, Compact, Sticks, etc)",CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE PROT SOLAR FLUID SPF50+ CJ CTN 50ML 3661434011979,Sensitive Skin/ basic sun protection,CHILE,,,
3.66E+12,FACE,ACNE,ACNE TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYSEAC PASTA SOS LC CJA CTN 15 URIAGE 3661434004315,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE BARIEDERM CICA CREMA CJ CTN 40ML 3661434011924,,CHILE,,,
3.66E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE DEPIDERM ANTIMANC APLI LOC LL CJA CTN 15 3661434004513,,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN MAT F F50+ BLO CJA CTN 50 PUIG 3661434005596,Sensitive Skin/ basic sun protection,CHILE,,,
3.66E+12,FACE,ACNE,ACNE TREATMENT,OTROS LAB,URIAGE,URIAGE HYSEAC BI STICK.CJA.LC 3 DERMATOLOGIQUES DURIAGE . 3661434001628,,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN SPF 50+ SIN PERFUME CJ CTN 50 3661434001383,Sensitive Skin/ basic sun protection,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIEDERM SPF 50 CICA-CR AU CUIVRE 40 CJ 3661434006548,Sensitive Skin/ basic sun protection,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE XEMOSE ANTI-IRRITACIONES ML CJ 200 PUIG 3661434004841,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT CR NOCHE PEELING PM PLT 50ML 3661434006456,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE BARIEDERCICA DAILY SEUM REPARA CJ CTN 30ML 3661434011931,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE CLEANS,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYSEAC GEL DE LIMP. POM LL 150 D URIAGE 3661434000973,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE LIGHT WATER SPF20 HL CJA CTN 40 3661434005039,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYDRATANTE APAISANTES LL LTA 50 D URIAGE 3661434000539,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYSEAC 3-REG GLOB SKIN-CARE LL CJACTN 40 3661434004308,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIEDERM C-LIPS REP BALM NL CJA CTN 15 3661434005459,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT CR P/NORMAL PT PLT 40ML 3661434006401,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIEDERM CJ CTN 40 3661434005435,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE WATER EYE CONTOUR OL CJA CTN 15 D URIAGE 3661434005015,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT CR NOCHE DETOX PT PLT 40ML 3661434006449,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE EAU THERMALE WATER SERUM HL CJA CTN 30 3661434005022,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE MICELL THER NOR DRY SKIN LL FCO PL 250 3661434003608,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE ROSELIANE DERMO-CLEANSING LL FCO 250 3661434003431,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE THERMAL MICEL WAT P.MIX/GR LL BOT PL 250 3661434003660,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE TOLEDERM HYDRA-APAISANTE CJ HL 50 3661434000454,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE LIG UP WATER ESSENCE FCO PL 100ML 3661434012020,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE XEMOSE ANTI-IRRITACIONES MC CJ CTN 200 3661434004834,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE LL LTA ALUM 300 D URIAGE 3661434000522,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYSEAC MAT CJ HL 40 D URIAGE 3661434001734,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE WATER SLEEPI MASK HC CJA CTN 50 D URIAGE 3661434005503,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT FLUIDO P/NORMAL PT PLT 40ML 3661434006395,,CHILE,,,
3.66E+12,RESTORING,RESTORING,RESTORING,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIEDERM REPARATRICE CJ 100 PUIG 3661434004742,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE WATER HAND MAL POM PL 50 PUIG 3661434005510,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE WATERPROOF EYE MAKE-UP REMOVER LL B.P100 3661434003691,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE EAU MICELL INTOL SKIN LL FCO PL 250 3661434004599,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT CR F30 P/NORMAL PT PLT 40ML 3661434006418,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE CLEASING FACE OIL BOT PL 100ML 3661434007262,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT SERUM INTENSIF PT PLT 30M 3661434006425,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE EAU THERMALE LIGHT WATER HL CJA CTN 40 3661434005008,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE CLEANS,OTROS LAB,URIAGE,URIAGE HYSEAC MASC EXFOL SUAV POM PL 50ML 3661434008283,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE EAU THERMALE D URIAGE LTA HL 150 3661434000515,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE CLEANS WATER FOAM BOT PL 150ML 3661434003028,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE XEMOSE ANTI-IRRITACIONES ML FC 400 IXPUI 3661434004858,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE AGE PROTECT CR CONTORNO OJOS PT PLT 15M 3661434006432,,CHILE,,,
3.66E+12,RESTORING,RESTORING,RESTORING,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIEDERM INSULATING MAL POM PL 50 PUIG 3661434004728,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE ROSELIANE CC CREAM SFP30 HL CJA CTN 40 3661434003417,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE ROSELIANE ANTIROUGUEURS SPF30 CJ CTN 40 3661434005350,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE HYSEAC NEW SKIN SERUM CJ CTN 40ML 3661434008290,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE ROSELIANE ANTI-REDNESS SOOTHES HL CJ 40 3661434003394,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,OT.MARCAS,URIAGE TOLEDERM EYE CONTOUR CJ CTN 15ML 3661434008481,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,OT.MARCAS,URIAGE TOLEDERM LIGHT CREAM POM PL 40ML 3661434008504,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE TOLEDERM RICH CREAM POM PL 40ML 3661434008498,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE CLEANS,OTROS LAB,OT.MARCAS,URIAGE PACK HYSEAC GEL DE LIMP X2 POM PL 150ML 3661434008566,,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE BARIESUN STICK MINERAL SPF50+ CJ CTN 8GR 3661434001833,"Others ( Face brushes, Compact, Sticks, etc)",CHILE,,,
3.70E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,BIODERMA,BIODERMA,BIODERMA PIGMENTBIO CREM FPS50 CJ CTN 40ML 3701129800072,,CHILE,,,
3.70E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,BIODERMA,BIODERMA,BIODERMA PIGMENTBIO C-CONCENTRADO CJ CTN 15ML 3701129800119,,CHILE,,,
3.70E+12,SUN,SUN FACE,SUN FACE TINTED,BIODERMA,BIODERMA,BIODERMA PHOTODERM NUDE TOUCH FPS50+ CJ CTN 40ML 3701129801147,Sensitive Skin/ basic sun protection,CHILE,,,
3.70E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,BIODERMA,BIODERMA,BIODERMA PIGMENTBIOS CREM RENEWER NOCH CJ CTN 50ML 3701129800089,,CHILE,,,
3.70E+12,SUN,SUN FACE,SUN FACE NON TINTED,BIODERMA,BIODERMA,BIODERMA PHOTODERM AKN MATIFICANTE SPF30 CJ CTN 40ML 3701129801116,Sensitive Skin/ basic sun protection,CHILE,,,
3.70E+12,SUN,SUN FACE,SUN FACE NON TINTED,BIODERMA,BIODERMA,BIODERMA PHOTODERM M V2 FPS 50+ CJ CTN 40ML 3701129801161,Sensitive Skin/ basic sun protection,CHILE,,,
3.70E+12,SUN,SUN FACE,SUN FACE NON TINTED,BIODERMA,BIODERMA,BIODERMA PHOTOD AGE SPF50+ PROT SOLAR CJ CTN 40ML 3701129801178,Age Related Sun Protection,CHILE,,,
3.70E+12,SUN,SUN FACE,SUN FACE TINTED,BIODERMA,BIODERMA,BIODERMA PROTECT CR NUDE 50+ CJ CTN 40ML 3701129801123,Sensitive Skin/ basic sun protection,CHILE,,,
3.70E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,BIODERMA,BIODERMA,BIODERMA SENS CREM ARBB CJ CTN 40ML ANTIROJECES 3701129804049,,CHILE,,,
3.70E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,BIODERMA,BIODERMA,PIGMENTBIO AGUA MICELAR H2O 250 ML x 1,,BRASIL,,,
3.70E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,BIODERMA,BIODERMA,PIGMENTBIO CREME DAILY CARE FPS50+ 40 ML x 1,,BRASIL,,,
3.70E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,BIODERMA,BIODERMA,PIGMENTBIO CREME ESPUMA ESFOLIANTE 200 ML x 1,,BRASIL,,,
3.70E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,BIODERMA,BIODERMA,PIGMENTBIO CREME SENSITIVE AREAS 75 ML x 1,,BRASIL,,,
3.70E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,BIODERMA,BIODERMA,PIGMENTBIO SERUM C-CONCENTRATE 15 ML x 1,,BRASIL,,,
3.70E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,BIODERMA,BIODERMA,ATODERM GEL CREME INTENSIVE 200 ML x 1,,BRASIL,,,
3.70E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,BIODERMA,BIODERMA,ATODERM GEL CREME INTENSIVE 500 ML x 1,,BRASIL,,,
3.70E+12,FACE,ACNE,ACNE TREATMENT,BIODERMA,BIODERMA,SEBIUM SERUM NIGHT PEEL 40 ML x 1,,BRASIL,,,
3.70E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,BIODERMA,BIODERMA,SENSIBIO GEL MOUSSANT PELE SENSIVEL 100 ML x 1,,BRASIL,,,
3.70E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,BIODERMA,BIODERMA,SENSIBIO GEL MOUSSANT PELE SENSIVEL 500 ML x 1,,BRASIL,,,
3.70E+12,SUN,SUN FACE,SUN FACE NON TINTED,BIODERMA,BIODERMA,PHOTODERM EUF CREME SPOT FPS50 40 ML x 1,Spots Related Sun protection,BRASIL,,,
3.70E+12,SUN,SUN FACE,SUN FACE TINTED,BIODERMA,BIODERMA,PHOTODERM LIQUIDO COVER TOUCH FPS50+ CLARO 40 G x 1,Sensitive Skin/ basic sun protection,BRASIL,,,
3.70E+12,SUN,SUN FACE,SUN FACE TINTED,BIODERMA,BIODERMA,PHOTODERM LIQUIDO COVER TOUCH FPS50+ DOURADO PELE MORENA 40 G x 1,Normal to Acne Prone Skin,BRASIL,,,
3.70E+12,FACE,ACNE,ACNE CLEANS,BIODERMA,BIODERMA,SEBIUM GEL MOUSSANT LIMPEZA FACIAL ACTIF 200 ML x 1,,BRASIL,,,
3.70E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,BIODERMA,BIODERMA,PIGMENTBIO CREME NIGHT RENEWER 50 ML x 1,,BRASIL,,,
3.70E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,BIODERMA,BIODERMA,SENSIBIO DEFENSIVE CREME 40 ML x 1,,BRASIL,,,
3.70E+12,SUN,SUN FACE,SUN FACE TINTED,BIODERMA,BIODERMA,PHOTODERM GEL CREME M FPS50+ PELE MORENA MAIS 40 ML x 1,Normal to Acne Prone Skin,BRASIL,,,
3.70E+12,SUN,SUN FACE,SUN FACE TINTED,BIODERMA,BIODERMA,PHOTODERM GEL CREME M FPS50+ PELE CLARA 40 ML x 1,Normal to Acne Prone Skin,BRASIL,,,
3.70E+12,BODY,BODY TREATMENT,DRY SKIN TREATMENT,BIODERMA,BIODERMA,ATODERM CREME HIDRATANTE ULTRA 200 ML x 1,,BRASIL,,,
3.70E+12,SUN,SUN FACE,SUN FACE NON TINTED,BIODERMA,BIODERMA,PHOTODERM AQUAFLUIDO MAX FPS50+ 40 ML x 1,Aqua- Fluid Formulas sun protection,BRASIL,,,
3.70E+12,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,BIODERMA,BIODERMA,ATODERM CREME HIDRATANTE ULTRA 500 ML x 1,,BRASIL,,,
3.70E+12,FACE,ACNE,ACNE TREATMENT,BIODERMA,BIODERMA,SEBIUM KERATO+ GEL CREME ANTI-IMPERFEICOES 30 ML x 1,,BRASIL,,,
3.76E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,ISISPHARMA,ISIS PHARMA AQUARUBORIL MIC REG+RUBORIL EXPERTM BL PLT40 100 3760269770201BP1,,CHILE,,,
3.76E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,ISISPHARMA,NEOTONE MANCHAS PIGMENTARIAS CJ CTN 25ML 3760269770362,,CHILE,,,
3.76E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,ISISPHARMA,ISISPHARMA METRORUBORIL A.Z ANTIENROJECIMIENTO CJ CTN 30 3760269770225,,CHILE,,,
3.76E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,ISISPHARMA,NEOTONE PREVENT SPF50+ MINERAL CJ CTN 30ML 3760269770409,Sensitive Skin/ basic sun protection,CHILE,,,
3.76E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,ISISPHARMA,NEOTONE CREM SENSITIV CJ CTN 30ML 3760269770379,,CHILE,,,
3.77E+12,NO ENTRA,,ANTI-AGE,OTROS LAB,...,LA ROSEE COSM EXFOLIANT FACIAL SUAV POM PL 60ML 3770000717020,,CHILE,,,
3.77E+12,NO ENTRA,,ANTI-AGE,OTROS LAB,...,LA ROSEE COSM CREMA HIDRAT POM PL 60ML 3770000717013,,CHILE,,,
3.77E+12,NO ENTRA,,ANTI-AGE,OTROS LAB,...,LA ROSEE COSMETIQ GEL MICELAR DESMAQ BOT PL 200ML 3770000717051,,CHILE,,,
3.77E+12,NO ENTRA,,ANTI-AGE,OTROS LAB,...,LA ROSEE COSMETIQUES LOCION TONICA FCO PL 200ML 3770000717068,,CHILE,,,
3.77E+12,NO ENTRA,,ANTI-AGE,OTROS LAB,...,LA ROSEE COSMETIQUES MASCARILLA FACIAL EN STICK FCO PL 75GR 3770000717082,,CHILE,,,
3.77E+12,NO ENTRA,,ANTI-AGE,OTROS LAB,...,LA ROSEE SERUM FACIAL CJ CTN 30ML 3770000717075,,CHILE,,,
3.77E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,OT.MARCAS,LA ROSEE BALSM LAB NUTRIT TB PL 4.5G 3770000717105,,CHILE,,,
4.01E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,EUCERIN,BEIERSDORF,EUCERIN PIEL SEN.ANTI-ENROJ.DIA FPS15 S/PERF.CJ.HC 50 4005800024085,,CHILE,,,
4.01E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,EUCERIN,BEIERSDORF,EUCERIN ANTI-EDAD ANTIPIGMENT SPOT/LAPIZ CORREC.NC CJA 5 4005800031045,,CHILE,,,
4.01E+12,SUN,SUN KIDS,SUN KIDS,EUCERIN,BEIERSDORF,EUCERIN SUN KIDS POCKET SIZE FPS50+ 50ML 4005800194429,,CHILE,NON MINERAL,,
4.01E+12,RESTORING,RESTORING,RESTORING,EUCERIN,BEIERSDORF,EUCERIN AQUAPHOR SOS LIP REPAIR CJ CTN 10ML 4005800268731,,CHILE,,,
4.01E+12,RESTORING,RESTORING,RESTORING,EUCERIN,BEIERSDORF,EUCERIN AQUAPHOR HEALING OINTMENT ML CJA 50 BDF 4005800084508,,CHILE,,,
4.01E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,EUCERIN,BEIERSDORF,EUCERIN DERMAT LOC MICELAR+HYALURON BOOSTR 30 CJ CTN 100ML 4005800281600BP2,,CHILE,,,
4.01E+12,BODY,BODY TREATMENT,DRY SKIN TREATMENT,EUCERIN,BEIERSDORF,EUCERIN PIEL SECA LOCIÓN UREA 3% FCO PL 125 ML 4005800060304,,CHILE,,,
4.01E+12,FACE,ACNE,ACNE CLEANS,EUCERIN,BEIERSDORF,EUCERIN DERMO PURIFYER EXFOLIANTE LL POM PL 100 BDF 4005800062575,,CHILE,,,
4.01E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,EUCERIN,BEIERSDORF,EUCERIN PH5 PIEL SECA Y SENSIBLE MAL POM PL 75 BDF 4005800178399,,CHILE,,,
